time,open,high,low,close,amount,complete
2008-12-31 07:00:00,90.34,90.94,90.13,90.612,23114.0,True
2009-01-01 07:00:00,90.61,90.85,90.605,90.75,109.0,True
2009-01-02 07:00:00,90.775,92.436,90.588,91.828,18973.0,True
2009-01-04 07:00:00,92.14,92.35,91.82,91.935,939.0,True
2009-01-05 07:00:00,91.935,93.589,91.806,93.42,41938.0,True
2009-01-06 07:00:00,93.42,94.637,92.838,93.646,48101.0,True
2009-01-07 07:00:00,93.656,94.158,92.338,92.65,50950.0,True
2009-01-08 07:00:00,92.65,92.932,90.827,91.202,63878.0,True
2009-01-09 07:00:00,91.202,91.666,90.156,90.388,54692.0,True
2009-01-10 07:00:00,90.398,90.398,90.398,90.398,1.0,True
2009-01-11 07:00:00,90.348,90.399,90.105,90.133,747.0,True
2009-01-12 07:00:00,90.133,90.261,88.884,89.216,60302.0,True
2009-01-13 07:00:00,89.218,89.88,88.78,89.379,71669.0,True
2009-01-14 07:00:00,89.379,89.961,88.614,89.058,74552.0,True
2009-01-15 07:00:00,89.058,90.022,88.48,89.84,106790.0,True
2009-01-16 07:00:00,89.846,90.913,89.742,90.74,85550.0,True
2009-01-18 07:00:00,90.74,91.035,90.68,90.98,983.0,True
2009-01-19 07:00:00,90.976,91.305,90.146,90.647,48624.0,True
2009-01-20 07:00:00,90.647,90.978,89.688,89.762,57312.0,True
2009-01-21 07:00:00,89.762,90.17,87.104,89.488,104004.0,True
2009-01-22 07:00:00,89.494,89.556,88.063,88.918,97732.0,True
2009-01-23 07:00:00,88.918,89.636,87.982,88.778,79686.0,True
2009-01-25 07:00:00,88.705,88.843,88.675,88.748,348.0,True
2009-01-26 07:00:00,88.773,89.698,88.263,89.094,49672.0,True
2009-01-27 07:00:00,89.094,90.08,88.434,88.952,63789.0,True
2009-01-28 07:00:00,88.974,90.772,88.89,90.294,47642.0,True
2009-01-29 07:00:00,90.294,90.656,89.47,90.036,42344.0,True
2009-01-30 07:00:00,90.036,90.155,89.18,89.932,54744.0,True
2009-02-01 07:00:00,89.936,90.065,89.733,90.019,946.0,True
2009-02-02 07:00:00,90.009,90.019,88.802,89.447,42218.0,True
2009-02-03 07:00:00,89.447,89.988,88.594,89.442,49586.0,True
2009-02-04 07:00:00,89.442,89.785,88.816,89.433,77711.0,True
2009-02-05 07:00:00,89.433,92.254,89.202,91.229,87261.0,True
2009-02-06 07:00:00,91.229,92.213,90.729,91.892,76943.0,True
2009-02-08 07:00:00,91.892,92.117,91.667,91.782,708.0,True
2009-02-09 07:00:00,91.782,92.417,90.886,91.456,61140.0,True
2009-02-10 07:00:00,91.461,91.67,90.128,90.475,55980.0,True
2009-02-11 07:00:00,90.47,90.762,89.706,90.394,42004.0,True
2009-02-12 07:00:00,90.392,91.125,89.813,90.942,71463.0,True
2009-02-13 07:00:00,90.947,92.153,90.535,91.858,67776.0,True
2009-02-15 07:00:00,91.927,91.958,91.148,91.723,1489.0,True
2009-02-16 07:00:00,91.723,92.07,91.423,91.743,34026.0,True
2009-02-17 07:00:00,91.743,92.756,91.56,92.41,69688.0,True
2009-02-18 07:00:00,92.41,93.96,92.092,93.781,56903.0,True
2009-02-19 07:00:00,93.781,94.47,93.3,94.193,64253.0,True
2009-02-20 07:00:00,94.193,94.384,92.515,93.342,58669.0,True
2009-02-22 07:00:00,93.342,93.602,93.249,93.425,714.0,True
2009-02-23 07:00:00,93.425,94.956,92.761,94.612,61981.0,True
2009-02-24 07:00:00,94.612,96.934,94.267,96.645,66992.0,True
2009-02-25 07:00:00,96.631,97.788,96.353,97.396,57417.0,True
2009-02-26 07:00:00,97.396,98.72,97.32,98.516,51780.0,True
2009-02-27 07:00:00,98.516,98.616,96.862,97.59,75431.0,True
2009-03-01 07:00:00,97.537,97.762,97.477,97.742,543.0,True
2009-03-02 07:00:00,97.742,97.908,96.928,97.446,59691.0,True
2009-03-03 07:00:00,97.446,98.594,96.992,98.168,57594.0,True
2009-03-04 07:00:00,98.168,99.484,98.124,99.156,64574.0,True
2009-03-05 07:00:00,99.156,99.688,97.72,98.064,53434.0,True
2009-03-06 07:00:00,98.072,98.51,96.574,98.251,72417.0,True
2009-03-08 07:00:00,98.305,98.38,98.305,98.369,32.0,True
2009-03-09 06:00:00,98.376,99.2,97.902,98.848,58659.0,True
2009-03-10 06:00:00,98.848,99.143,97.908,98.669,53419.0,True
2009-03-11 06:00:00,98.665,98.856,97.057,97.278,59192.0,True
2009-03-12 06:00:00,97.278,98.538,95.67,97.721,87150.0,True
2009-03-13 06:00:00,97.726,98.669,97.141,97.963,55576.0,True
2009-03-14 06:00:00,97.963,97.963,97.963,97.963,1.0,True
2009-03-15 06:00:00,97.963,98.219,97.963,98.15,335.0,True
2009-03-16 06:00:00,98.15,98.65,97.61,98.18,59987.0,True
2009-03-17 06:00:00,98.18,98.978,98.06,98.584,50255.0,True
2009-03-18 06:00:00,98.584,98.853,95.702,96.26,52737.0,True
2009-03-19 06:00:00,96.26,96.618,93.556,94.51,107363.0,True
2009-03-20 06:00:00,94.506,96.266,94.148,95.945,59535.0,True
2009-03-21 06:00:00,95.945,95.945,95.945,95.945,1.0,True
2009-03-22 06:00:00,95.938,95.938,95.57,95.655,1760.0,True
2009-03-23 06:00:00,95.655,97.348,95.455,96.96,64814.0,True
2009-03-24 06:00:00,96.96,98.58,96.92,97.868,79424.0,True
2009-03-25 06:00:00,97.868,98.362,96.913,97.546,64327.0,True
2009-03-26 06:00:00,97.546,98.874,97.45,98.724,79558.0,True
2009-03-27 06:00:00,98.708,98.868,97.097,97.871,55467.0,True
2009-03-28 06:00:00,97.863,97.863,97.863,97.863,1.0,True
2009-03-29 06:00:00,97.929,98.176,97.877,98.05,111.0,True
2009-03-30 06:00:00,98.05,98.33,95.949,97.256,74116.0,True
2009-03-31 06:00:00,97.256,99.373,97.216,98.956,59036.0,True
2009-04-01 06:00:00,98.958,99.481,98.212,98.519,67254.0,True
2009-04-02 06:00:00,98.518,99.908,98.389,99.527,89069.0,True
