,date,tweet
84,2019-08-30," “They could have charged Comey with theft of government documents, 641 of the Criminal Code, because the IG found t… https://t.co/Ukdqlq9zRG Just arrived at Camp David! The Great State of North Carolina has EARLY VOTING for a very important Congressional (Ninth) race. Please vote ear… https://t.co/3aS4KjK39O https://t.co/ufd7tsGyAx This should NEVER happen to another President again! https://t.co/4ynSXVo9e9 ""FALLOUT FROM IG'S SCATHING COMEY REPORT"" https://t.co/NrpeBkPbww “One of the most disgraceful examples of an abuse of power by a government official…when you read this report…this… https://t.co/RgT86uSBQz Thanks @RepDougCollins - TRUE! https://t.co/o49tPKdWct The United States of America was not involved in the catastrophic accident during final launch preparations for the… https://t.co/wJB87RwgSC RT @fema: Prepare today and stay informed as #Dorian approaches. 

✅ Follow @Readygov for information on how to prepare and visit https://t… RT @NOAASatellites: Watch as the eye of #HurricaneDorian2019 begins to form in this 1-minute visible loop from NOAA's #GOESEast. ""Dangerous… If the Fed would cut, we would have one of the biggest Stock Market increases in a long time. Badly run and weak co… https://t.co/eb635vBk8c ....We don’t have a Tariff problem (we are reigning in bad and/or unfair players), we have a Fed problem. They don’t have a clue! The Euro is dropping against the Dollar “like crazy,” giving them a big export and manufacturing advantage...and th… https://t.co/djisI2Umlp https://t.co/Ldpr6vjGdp Bryan Dean Wright, former CIA Officer(Dem): “In 2016 we had a Coup. We have to take Comey and others to task. Makes… https://t.co/bIJbECqAoQ The fact that James Comey was not prosecuted for the absolutely horrible things he did just shows how fair and reas… https://t.co/AKYyZE5UW4 The disastrous IG Report on James Comey shows, in the strongest of terms, how unfairly I, and tens of millions of g… https://t.co/lVBHcPd20S RT @MeetThePress: WATCH: Club for Growth president David McIntosh defends his organization's support for President Trump despite the trade… RT @MeetThePress: . @chucktodd asks: How could you say Trump is a free-market conservative as he issues tariffs?

@DavidMMcintosh: ""What we… RT @club4growth: Agreed, @SenTedCruz &amp; @taxreformer. We’re not tired of all this winning. @realdonaldtrump should boost our already winning… An idea liked by many? https://t.co/Ev9uqa1hoj General Motors, which was once the Giant of Detroit, is now one of the smallest auto manufacturers there. They move… https://t.co/EaVe3xdyIz"
83,2019-08-31," “The vindication belongs to the President for firing James Comey. It was clearly the right thing to do. You don’t w… https://t.co/RO4DiYMzr5 Enjoy the low gas prices over the Labor Day weekend! My energy policies have made America energy independent while… https://t.co/LzS0UTADZb ....but now we are moving forward like never before. We are winning again, and we are respected again! Being scolded by failed former “Intelligence” officials, like James Clapper, on my condolences to Iran on their fai… https://t.co/nmmbwzhBsX Just watched Congresswoman Debbie Dingell, and many other Democrats, wanting to give up on our very successful Trad… https://t.co/Nc2KTzW5kR RT @NWS: Here are the latest Key Messages on Hurricane Dorian from @NWSNHC https://t.co/VRiU5VYSJX Has anyone noticed that the top shows on @foxnews and cable ratings are those that are Fair (or great) to your favo… https://t.co/ZAlU8EjB8E Dan will be GREAT! https://t.co/5zfVFweUCh Looking like our great South Carolina could get hit MUCH harder than first thought. Georgia and North Carolina also… https://t.co/BuIfVz7paI MAKE AMERICA GREAT AGAIN, which is happening, and then, KEEP AMERICA GREAT! I was right about Comey, CROOKED COP! RT @FLSERT: Make sure to have a tank full of gas and stock your vehicle with emergency supplies in case you need to evacuate. Listen to dir… RT @FLSERT: Find the latest information, on #HurricaneDorian&gt;&gt;&gt; 
https://t.co/Dn8xfWBr2W #flprepares https://t.co/JinCfSiUL2 RT @fema: As you plan for Hurricane #Dorian, consider the specific medical needs of all members of your household. Planning ahead can save… RT @RedCross: Make a blood donation this #LaborDayWeekend and you'll receive this free tote bag while supplies last to carry everything you… RT @RedCross: Serving the military is part of what we do. For these #MilitarySpouses, joining the Red Cross as a volunteer helped them get… RT @RedCross: The free Red Cross Emergency App puts real-time weather alerts, open Red Cross shelter locations and #hurricane tips in the p… RT @SFLRedCross: As you get #RedCrossReady for #HurricaneDorian, keep in mind this important distinction between pre-storm evacuation shelt… RT @RedCross: When it comes to hurricanes, preparation is key. Here's what you can do now to make sure your pets are well taken care of in… A great team, working hard! https://t.co/QeGuomKBir RT @NHC_Atlantic: Here are the 5 AM EDT Saturday, August 31 Key Messages for Hurricane #Dorian.  A prolonged period of storm surge and hurr… RT @NHC_Atlantic: 8/31 8 AM EDT: There's been a notable change overnight to the forecast of #Dorian after Tuesday. It should be stressed th… RT @HealthyFla: For full list of all evacuation shelters, visit: https://t.co/wj3wNyMW0m you or a loved one have #specialneeds, visit https… ...Yes, I am currently suing various people for violating their confidentiality agreements. Disgusting and foul mou… https://t.co/jTfcHtjIcF While Madeleine Westerhout has a fully enforceable confidentiality agreement, she is a very good person and I don’t… https://t.co/c1MSjTVYeb RT @SenateGOP: 🇺🇸 @SenatorWicker meets with @USCG rescue swimmers at Air Station Kodiak. 

⁣On average, the brave men and women of the Unit… RT @SenCapito: Highlights from today’s @HINOTRUCKSUSA visit 🚛🚚 Although #WV has a vibrant automotive industrial cluster, this facility is t… RT @JimInhofe: A historic meeting with U.S. military &amp; Mexican officials protecting both sides of our southern border. Due to joint coopera… RT @IvankaTrump: Fact: Thanks to pro-growth policies of this Administration, Americans are earning more. 

Since the passage of Tax Cuts, r… “The IG found that James Comey leaked Classified Documents to his attorneys, which can be (is) a violation of the E… https://t.co/mvq8TtKcE9 Cory is doing a Great job for Colorado! https://t.co/OmsGvWL9E3 RT @senrobportman: Today I saw firsthand the critical and innovative research and ground tests for the international space community being… RT @SenateGOP: On this day 99 years ago, the 19th Amendment was adopted to our Constitution, securing for women the right to vote.
 
Today… RT @MarshaBlackburn: If it wasn't for one convincing mother, the 19th Amendment may not have been ratified. Harry T. Burn, a state represen… RT @SenatorLankford: As I travel around the state, a lot of people ask about securing the US-Mexico border &amp; what Congress can do to fix th… Nobody knows more about Healthcare than John. Great guy! https://t.co/T4i0UYqLqd RT @SenCapito: Stopped in and visited with the Witschey family at their market in New Martinsville this morning. Celebrating 75 years in bu… RT @SenToddYoung: I saw some of the handiwork of the engineering students at Rose Hulman Institute of Technology, including a concrete cano… RT @SenatorRomney: As a major export state, Utah’s agricultural industry would greatly benefit from #USMCAnow. Hosted a roundtable this eve… RT @senrobportman: I will continue to work in Washington to ensure that @NasaGlenn has the support it needs to carry out it’s vital mission… An amazing guy, respected by all! https://t.co/S814IXvHc4 RT @JohnBoozman: The #ServingARVets tour has been a great week traveling across the state meeting with #veterans, visiting vet-owned busine… RT @SenateGOP: .@SenatorIsakson serves the people of Georgia with honor, distinction and deep devotion. Johnny is a true gentleman.   A pow… RT @JerryMoran: As the chairman of the Senate Veterans' Affairs Committee, @SenatorIsakson has led significant efforts to transform the VA… Nobody works harder or smarter than Joni! https://t.co/vqvW5I8ngI One of the greats! https://t.co/14o0j9aZfj RT @JimInhofe: Proud @AmericanAir announced they're bringing more than 400 jobs to Tulsa. As a pilot myself, I know how vital maintenance t… RT @SenatorBraun: Representing Indiana on the @SenateAg Committee means it’s so important to sit down with Hoosier farmers to dig into what… RT @senatemajldr: Senate Republicans are unified against any court packing schemes. We promise this: while we remain members of this body,… RT @SenKevinCramer: Like the rest of the Democratic party platform, this court-packing scheme is nothing more than a sloppy regurgitation o… RT @SenatorTimScott: A very happy birthday to the United States Marine Corps Reserve! We are truly honored to have such outstanding men and… RT @senjudiciary: “This attempt by Democrats to intimidate the Court is highly inappropriate,” said Chairman @LindseyGrahamSC. ""The Left is… Great job Thom! https://t.co/N8mHjP1PHI RT @MarshaBlackburn: The independence of our judicial branch is under attack.
 
Our Democrat colleagues’ threats to pack the Court are an e… RT @SenatorEnzi: The Supreme Court should rule in cases only as the law dictates, without regard to the identity of the parties or politics… Thank you Kevin. Great things are happening at the Border! https://t.co/gR71Z1Au8B RT @SenThomTillis: Unreal: the fmr Fed Chair is lobbying the Fed to use its authority to meddle in the election to defeat @realDonaldTrump.… I am monitoring Hurricane Dorian and receiving frequent briefings and updates. It is important to heed the directio… https://t.co/5HCgwhrays"
82,2019-09-01," RT @WhiteHouse: President @realDonaldTrump: “I ask everyone in Hurricane Dorian’s path to heed all warnings and evacuation orders from loca… RT @WhiteHouse: “On behalf of all Americans, I’d like to express my deepest sympathies and sorrow for the victims and their families. We as… Great job by Texas Law Enforcement and First Responders in handling the terrible shooting tragedy yesterday. Thank… https://t.co/lnsy8YCnza In addition to Florida - South Carolina, North Carolina, Georgia, and Alabama, will most likely be hit (much) harde… https://t.co/G9N3uqS9Pd RT @NWSSanAntonio: 🛰️ Satellite imagery this morning of now Category 5 Hurricane Dorian approaching the Abaco Islands in the northern Baham… RT @weatherchannel: BREAKING: #HurricaneDorian is now a Category 5 as it closes in on the Bahamas. https://t.co/iAbJpgRoFe RT @ABC: LATEST: Hurricane Dorian has intensified to a major Category 5 storm, threatening the northwestern Bahamas. https://t.co/fjsWABH93… RT @GovRonDeSantis: Thank you, @USACEHQ. 

Our administration continues to work around the clock with all of our federal and local partners… RT @GovRonDeSantis: While #Dorian’s path is generally more favorable compared to yesterday, we can’t let our guard down.

Floridians and th… RT @GovRonDeSantis: Hurricane #Dorian is now an extremely dangerous Category 5 storm, with sustained winds of 175 mph. If you live along th… RT @Readygov: As you prepare for #Dorian, plan for your specific needs:

✅ Include medication in your emergency kit
✅ Charge assistive devi… This is only the beginning! https://t.co/mFrtBPtCcO RT @realDonaldTrump: This should NEVER happen to another President again! https://t.co/4ynSXVo9e9 RT @realDonaldTrump: ""FALLOUT FROM IG'S SCATHING COMEY REPORT"" https://t.co/NrpeBkPbww RT @realDonaldTrump: If the Fed would cut, we would have one of the biggest Stock Market increases in a long time. Badly run and weak compa… RT @realDonaldTrump: Crazy Lawrence O’Donnell, who has been calling me wrong from even before I announced my run for the Presidency, even b… RT @realDonaldTrump: ....for the most ridiculous claim of all, that Russia, Russia, Russia, or Russian oligarchs, co-signed loan documents… RT @WhiteHouse: ""It is disheartening that families continue to put their lives and the lives of their children at risk of drowning and heat… RT @VP: Looking forward to representing President @realDonaldTrump and the US in Poland for the solemn occasion of the 80th anniversary of… RT @WhiteHouse: The old, six-foot border fence in Tecate, California—installed in the 1990s—was made from salvaged military landing mats.… RT @realDonaldTrump: Thanks @RepDougCollins - TRUE! https://t.co/o49tPKdWct RT @realDonaldTrump: “One of the most disgraceful examples of an abuse of power by a government official…when you read this report…this is… I have not forgotten that when it was announced that I was going to do The Apprentice, and when it then became a bi… https://t.co/18OsgBD6PS “Comey and McCabe (and more) are Dirty Cops.” Joe DiGenova ....reports are coming. Comey very vulnerable. But where is the Supreme Court. Where is Justice Roberts? If you lie… https://t.co/54WOHmVWJb “James Comey has been rebuked at the highest level, with much more to come. An IG Report doesn’t get any stronger,… https://t.co/NvsOoiS4s4 RT @53rdWRS: We’ve made it back home to Keesler Air Force Base, Mississippi. Here’s a few photos from hurricane #Dorian 
✈️⛈🌪🌊 

#ReserveCi… RT @NHC_Atlantic: Here are the 5 AM EDT Sunday, September 1 Key Messages for Hurricane #Dorian. Conditions will be deteriorating over the A… RT @NHC_Atlantic: NEW: #Dorian is now a category 5 #hurricane with 160 mph sustained winds.   The eyewall of this catastrophic hurricane is… RT @fema: Stay alert &amp; get prepared for #Dorian if you are in the Southeast. Monitor forecasts closely, as the storm's track can change qui… RT @NHC_Atlantic: A Tropical Storm Warning is now in effect for Hurricane #Dorian north of Deerfield Beach to Sebastian Inlet, Florida. A T… ....is about American Freedom. Redirect the supply chain. There is no reason to buy everything from China! Peter Morici, Economist: Tariffs will not impact American consumers that much because the Chinese currency has gone… https://t.co/t2fKH0p8BA"
81,2019-09-02," Such a phony hurricane report by lightweight reporter @jonkarl of @ABCWorldNews. I suggested yesterday at FEMA that… https://t.co/GK9ELdyK52 https://t.co/h5EMpC8hCo RT @WhiteHouse: Our great American workers are winning under President @realDonaldTrump! 🇺🇸 https://t.co/SDIYGwLNId RT @VCFD_PIO: #CoastInc:  @VCFD responded to boat fire off the north side of Santa Cruz Island at approximately 3:28am. @USCG helping suppo… RT @KTLA: Rescue operation underway near Santa Cruz Island involving at least 30 people on a 75-foot boat, per @USCGLosAngeles
https://t.co… RT @USCGLosAngeles: BREAKING NEWS:  The Coast Guard has launched multiple rescue assets along with assets from local agencies to assist mor… RT @NHC_Atlantic: Tropical-storm-force winds are mostly likely to start in Georgia early on Wednesday, in South Carolina late Wednesday, an… RT @NHC_Atlantic: For more local information on #Dorian effects in the southeastern United States, please follow @NWSMiami @NWSTampaBay @NW… RT @realDonaldTrump: All Trump Haters and Lovers must watch. Thank you Steve Hilton! https://t.co/QaSkw8IWNz ....The good news is that we are winning. Our real opponent is not the Democrats, or the dwindling number of Republ… https://t.co/aE7BDCtXxS The LameStream Media has gone totally CRAZY! They write whatever they want, seldom have sources (even though they s… https://t.co/3nim7S2FgJ The Amazon Washington Post did a story that I brought racist attacks against the “Squad.” No, they brought racist a… https://t.co/LdUexdL89l ....Trump Economics. With President Trump, Tariffs are bringing companies back to the USA like he said they would! @SteveHiltonx ....swing states that went to Trump in 2016 because he promised not to forget about them like the establishment had… https://t.co/0ISXudPxJt ....Average hourly wages growth has far outpaced what we saw with President Obama. Across all industries, from mini… https://t.co/liQp3HRr0m “The last three years of Trump policy have finally brought real hope and real change. Unemployment this year hit a… https://t.co/ODYXYfc528 “They are liars, and in my opinion, TRAITORS!” @LouDobbs talking about Comey and his dwindling group of friends. ....and watched. NAFTA is the worst Trade Deal ever made - terrible for labor - and Richard let it stand. No wonder… https://t.co/1nhNZdCdFP Just watched AFL-CIO President Richard Trumka on @FoxNews and thought to myself how different he is on TV than he i… https://t.co/XpwAniCHxz Since my election, many trillions of dollars of worth has been created for our Country, and the Stock Market is up… https://t.co/wpEBosLugj ....adds up to the most ambitious Pro-Worker policy agenda this Country has ever seen. The President promised Jobs,… https://t.co/QCcGetrNhD “When you put everything together, the pro growth Tax &amp; Regulation Cuts, help to retrain workers, the Tariffs which… https://t.co/z3WS0k63Ej RT @NHC_Atlantic: Hurricane #Dorian Advisory 36: Category 5 Dorian Continues to Have Devastating Impacts On Grand Bahama Island. https://t.… RT @NHC_Atlantic: Here are the 5 AM Monday, September 2 Key Messages for Hurricane #Dorian. Life-threatening storm surge and hurricane-forc… RT @NHC_Atlantic: 6 AM EDT Tropical Cyclone Update on Hurricane #Dorian: Eye of Dorian Wobbling over Grand Bahama Island. https://t.co/1xVT… RT @NHC_Atlantic: Hurricane Watches Expanded Northward Along the East Coast to the Florida/Georgia Border. Here are the 11 PM EDT 09/01 Key… .....this (Judge Thomas Ambro, Majotity Opinion), and thank God for a President like Donald J. Trump, who will appo… https://t.co/Qtis2FoaKf “We hold that legislative prayer is government speech not open to attack via those channels.” Third Circuit, Court… https://t.co/0SQiNBYzT4"
80,2019-09-03," RT @53rdWRS: Ready for more shots 📸 of hurricane #Dorian? 
✈️⛈🌪🌊 

No? Well too bad!

#ReserveCitizenAirmen #ReserveReady #403WG #WC130J #S… The U.S. may be getting a little bit lucky with respect to Hurricane Dorian, but please don’t let down your guard.… https://t.co/458gw65OnD RT @NHC_Atlantic: New Watches and Warnings Issued Along the Southeastern United States Coast. Rain and Wind Threat also Increasing For Port… RT @NHC_Atlantic: Hurricane #Dorian Advisory 42: Winds Increasing Along Portions of the Florida East Coast. https://t.co/VqHn0uj6EM RT @NHC_Atlantic: Tropical Depression Eight has developed over the eastern tropical Atlantic. The depression is forecast to become a tropic… @NHC_Atlantic ....”knife crime,” which is totally out of control in London. People are afraid to even walk the streets. He is a t… https://t.co/IuYAP08EsZ The incompetent Mayor of London, Sadiq Khan, was bothered that I played a very fast round of golf yesterday. Many P… https://t.co/iRLsf4Noau Based on the IG Report, the whole Witch Hunt against me and my administration was a giant and illegal SCAM. The Hou… https://t.co/X5kECFVV86 Germany, and so many other countries, have negative interest rates, “they get paid for loaning money,” and our Fede… https://t.co/2MUSZc50hH For all of the “geniuses” out there, many who have been in other administrations and “taken to the cleaners” by Chi… https://t.co/XESNGWhzSm ....And then, think what happens to China when I win. Deal would get MUCH TOUGHER! In the meantime, China’s Supply… https://t.co/JwXi1w8xj2 We are doing very well in our negotiations with China. While I am sure they would love to be dealing with a new adm… https://t.co/bWvUK5xUZN RT @NHC_Atlantic: The 7 am EDT Tropical Cyclone Update has been released:  Southern eyewall of #Dorian continues to lash Grand Bahama Islan… RT @NHC_Atlantic: Potential Tropical Cyclone #Seven Advisory 1A: Disturbance Moving Westward. https://t.co/VqHn0u1vgc RT @NHC_Atlantic: Hurricane #Dorian Advisory 40A: Eye of Dorian Beginning to Inch Northwestward. https://t.co/VqHn0u1vgc RT @NHC_Atlantic: Here are the 11 PM EDT Monday, September 2 Key Messages for Hurricane #Dorian. For more information, visit https://t.co/t… ...Trade Agreement.” @business @ChuckGrassley @joniernst @SenatorFischer @BenSasse Making great progress for our Fa… https://t.co/R4dwCEVf75 “Brazil will allow more American Ethanol to enter the country without Tariffs, a decision that Brazilian mills are… https://t.co/yq61ZDz7hX"
79,2019-09-04," State Rep Greg Murphy is running for Congress in North Carolina, District 3. We really need Greg in Washington. He… https://t.co/Jl0otOAO0f RT @realDonaldTrump: The Great State of North Carolina has EARLY VOTING for a very important Congressional (Ninth) race. Please vote early… 7. The badly flawed Paris Climate Agreement protects the polluters, hurts Americans, and cost a fortune. NOT ON MY… https://t.co/DSsydY8pRt 6. The Democrats’ destructive “environmental” proposals will raise your energy bill and prices at the pump. 

Don't… https://t.co/oXXjsH7prF 4. The U.S. now leads the world in energy production...

BUT...
 
5. Who's got the world's cleanest and safest air and water? 

AMERICA! 1. Which country has the largest carbon emission reduction?

AMERICA!

2. Who has dumped the most carbon into the a… https://t.co/eUm8MaaqmW 8 FACTS that #FakeNewsCNN will ignore in tonight’s “Climate Forum” RT @WhiteHouse: President @realDonaldTrump gives an update on Hurricane #Dorian: https://t.co/CmxAXHY5AO RT @NHC_Atlantic: The Hurricane Warning has been extended northward to the North Carolina/Virginia border, including Albemarle and Pamlico… ....We can’t have a system where we run our entire economy for the benefit of other countries, which have long char… https://t.co/eUfR2IqrwA ....Trump is doing to China is not lost on the rest of the world. Europe has had among the most protectionist polic… https://t.co/Sec9NUE0u4 “The Chinese are very adept at not accepting anything. You’ve got to be very tough, and that’s what Trump is doing.… https://t.co/KEJUHHOhoN RT @NHC_Atlantic: @NOAA @NWS Water levels could begin to rise well in advance of the arrival of strong winds.  The surge will be accompanie… RT @NHC_Atlantic: Here's the latest #Dorian storm surge forecast from this morning.  The water could reach the following heights above grou… RT @NHC_Atlantic: The @NWSWPC has issued a High Risk area for flash flooding over eastern South Carolina &amp; SE North Carolina for Thursday d… “U.S. Winning Trade War With China In Dollars.” CNBC .....on the President of the United States.” @charliekirk11 @trish_regan “To declassify is so important because if this were a Democrat President or a Democrat Candidate, that was spied on… https://t.co/XVjMZjOtcT “I am so tired of hearing the rationalization of the Left in the country because they hate Donald Trump. Inexplicab… https://t.co/k3eERVIoKk The truth is that we have a nation that is disgusted with the FBI. We have a crisis of confidence in the number one… https://t.co/zvA0mfegRP At the request of Senator Thom Tillis, I am getting the North Carolina Emergency Declaration completed and signed t… https://t.co/n0tLM8GrLd"
78,2019-09-05," Just got off the phone with Governor Brian Kemp (@GovKemp) of Georgia. Happy to hear that things are looking good f… https://t.co/sCEuO9zYLk Just spoke to Governor @HenryMcMaster of South Carolina regarding Hurricane Dorian. I informed Henry that we are mo… https://t.co/goMiwa26h5 Just talked to Governor Roy Cooper of North Carolina as Hurricane Dorian ominously comes up the East Coast. We are… https://t.co/6iylYTyC5x RT @NHC_Atlantic: Here are the 5pm EDT Key Messages on Hurricane #Dorian. Life-threatening storm surge and dangerous winds and flash floodi… I was with you all the way Alabama. The Fake News Media was not! https://t.co/gO5pwahaj9 Just as I said, Alabama was originally projected to be hit. The Fake News denies it! https://t.co/elJ7ROfm2p RT @NWSColumbia: [Sep 5, 1`:25 PM] - Winds are picking back up @NOAABuoyData #41004, 47 miles SE from Charleston as #Dorian's eye moves awa… RT @NHC_Atlantic: Here are the 11 am EDT key messages on Hurricane #Dorian.  The latest full advisory is always available at https://t.co/t… ....His dedication to Israel and to seeking peace between Israel and the Palestinians won’t be forgotten. He will b… https://t.co/HMnwu7Zvpa After almost 3 years in my Administration, Jason Greenblatt will be leaving to pursue work in the private sector. J… https://t.co/cPYYVCQdqp Really Good Jobs Numbers! Alabama was going to be hit or grazed, and then Hurricane Dorian took a different path (up along the East Coast). T… https://t.co/p7jFHFVuLI ....said what she did, even being on a much higher rated show, she would have been thrown off television. Will Fake… https://t.co/G0lOTqvxYA Bad “actress” Debra The Mess Messing is in hot water. She wants to create a “Blacklist” of Trump supporters, &amp; is b… https://t.co/HqLMYkM1hA RT @NHC_Atlantic: Beyond Hurricane #Dorian and TS #Gabrielle, we're monitoring 3 other disturbances with a low chance of becoming tropical… RT @NWSWilmingtonNC: Video of a tornado passing near Pender County Fire Station 18 along Highway 17 near Sidbury Rd. Video courtesty of Sta… RT @NHC_Atlantic: 7 AM EDT Tropical Cyclone Update for Hurricane #Dorian: Tropical Storm Conditions Occurring Along Portions of the South C… RT @DaveNYviii: President Trump Border Update 
500 Miles of Wall Complete by Close of 2020
Irregular Migration Reduced by 50%

#BuildTheWal… RT @realDonaldTrump: This was the originally projected path of the Hurricane in its early stages. As you can see, almost all models predict… ....Instead it turned North and went up the coast, where it continues now. In the one model through Florida, the Gr… https://t.co/OvkyDRpGEr In the early days of the hurricane, when it was predicted that Dorian would go through Miami or West Palm Beach, ev… https://t.co/R7dZtTB7hH RT @militarykind: The announcer couldn't even get through his speech without choking up for this sweet Army mom homecoming.❤️⚾️🇺🇸 https://t… Thank you Rad - looking great! https://t.co/YeKXSNjKwW Thank you Terrence. Best Employment Numbers In History for African Americans! https://t.co/YCf2WT4XHt RT @NHC_Atlantic: 7 pm Tropical Cyclone Update:  #Dorian lashing the Georgia and South Carolina Coast. The next intermediate advisory will… https://t.co/bxSiT2zQDj ....information does come out.” Charlie Hurt, Washington Times  @LouDobbs ....facts, and that should terrify every American regardless of their political stripe. The idea that all of that i… https://t.co/QyrnqQe00Q “Absolutely nothing is more important than going back &amp; getting to the bottom of the origins of the investigation.… https://t.co/yzx0Ah2YtS"
77,2019-09-06," The @USCG, @FEMA, and all others, along with other countries that have been helping, have been asked to move people… https://t.co/oyLyn3feGU “The Washington Post’s Lost Summer” https://t.co/jHkZyiJwZL https://t.co/tsIMIawIxh https://t.co/J3aTzBG7ao “China is eating the Tariffs.” Billions pouring into USA. Targeted Patriot Farmers getting massive Dollars from the… https://t.co/2vDquqQM2C The Economy is great. The only thing adding to “uncertainty” is the Fake News! Great job by FEMA, Law Enforcement, First Responders, U.S. Coast Guard, and ALL! Keep going, we all appreciate what you are doing! ....partner should start playing it straight. It would be so much better for our Country! ....This nonsense has never happened to another President. Four days of corrupt reporting, still without an apology… https://t.co/XtV0pk3cIg The Fake News Media was fixated on the fact that I properly said, at the beginnings of Hurricane Dorian, that in ad… https://t.co/xbmq9l9POT Larry Kudlow on @Varneyco now! Our great @JudgeJeanine has just written a book that will add to the tremendous success of her last number one best… https://t.co/dWv2HrwZ8V Great interview of Sarah Sanders by @foxandfriends. She is a terrific person with a great future! Congratulations to @edhenry and his sister on a great success. What a wonderful thing to do! I agree with @jimcramer, the Fed should lower rates. They were WAY too early to raise, and Way too late to cut - an… https://t.co/8Q5SSfxtt1 DACA will be going before the Supreme Court. It is a document that even President Obama didn’t feel he had the lega… https://t.co/ikon4DYlkQ ....President Obama never had the legal right to sign DACA, and he indicated so at the time of signing. But In any… https://t.co/2clDkXY7Lu ....have the discretion to end the program that President Obama began in his discretion. That program was unlawful… https://t.co/fLKkQ6EQDP The Immigration Law Institute’s Christopher Hajec says, “The Supreme Court has to look st whether DACA is lawful. W… https://t.co/LfWAx8f2mM RT @NHC_Atlantic: Here's the 1am EDT update on #Dorian: Tropical Storm Conditions Continue to Spread Northward Along the North Carolina Coa… RT @NHC_Atlantic: Hurricane #Dorian Advisory 51: Core of Hurricane Dorian Brushing the Coast of North Carolina. https://t.co/VqHn0u1vgc ....that our economy is very strong. If the Fed would lower rates to where the bond market says they should be, the… https://t.co/KqEzK4T3fe “I think President Trump is set in his ways because he doesn’t see any weakening. I mean, look at the joblessness r… https://t.co/AUINvObAbz RT @MadMoneyOnCNBC: .@JimCramer: Thursday’s positive economic data may get some commentators to ease up on the desire to endlessly call for… Looking forward to watching @SarahHuckabee Sanders tomorrow morning on @FoxandFriends, by far the #1 rated show on… https://t.co/GqCfzCMUr3"
76,2019-09-07," ....an attack in Kabul that killed one of our great great soldiers, and 11 other people. I immediately cancelled th… https://t.co/y8kye41ORQ Unbeknownst to almost everyone, the major Taliban leaders and, separately, the President of Afghanistan, were going… https://t.co/1HtmeRqqzE RT @PoliticalShort: “News coverage of President Trump has been 92% negative. The most egregious and dangerous forms of this bias thrived th… RT @BreitbartNews: Elizabeth Warren promises to declare war on American energy. 
""I will ban fracking—everywhere."" https://t.co/YEenw2MUfV RT @BreitbartNews: Swedish behavioral scientist Magnus Söderlund has suggested that eating other people after they die could be a means of… RT @JudicialWatch: .@realDonaldTrump retweeted our petition! Right now, our borders are being used as gateways for drug cartels &amp; violent c… RT @BreitbartNews: Everything is on the line. ""...the Democrats will move for an outright repeal of the Second Amendment,"" said @RepMoBrook… RT @realDonaldTrump: https://t.co/J3aTzBG7ao ...FAKE NEWS. I would like very much to stop referring to this ridiculous story, but the LameStream Media just won’… https://t.co/xPbrXAWleG The Failing New York Times stated, in an article written by Obama flunky Peter Baker (who lovingly wrote Obama book… https://t.co/Ngg3WUh5Yc Our Economy is doing great!!!!! https://t.co/JnnEbyWQek RT @VP: The United States stands without apology for a strong, prosperous, and free United Kingdom and we fully support their decision to l… RT @WhiteHouseCEA: New from @BLS_gov - in August, the #unemployment rate remained at 3.7%, and has been under 4% for 18 consecutive months,… RT @WhiteHouse: Congress has an opportunity to replace NAFTA with a deal that protects American workers—and ""would boost the fortunes of Am… JOBS, JOBS, JOBS! https://t.co/NeTvaaeVTR Congratulations to the GREAT Jerry West! https://t.co/BD6FUD6JwP https://t.co/tNMJCRD4ft Thank you Katie. The U.S. is doing great! https://t.co/FT2ERbVPf6 Russia and Ukraine just swapped large numbers of prisoners. Very good news, perhaps a first giant step to peace. Co… https://t.co/8BeC7aXSAG “In 22 years of patrolling our Southern Border, I have never seen Mexico act like a true Border Security Partner un… https://t.co/Avu0Oo5FkO The Washington Post’s @PhilipRucker (Mr. Off the Record) &amp; @AshleyRParker, two nasty lightweight reporters, shouldn… https://t.co/1jxEbYZ3By I want to congratulate @senatemajldr Mitch McConnell and all Republicans. Today I signed the 160th Federal Judge to… https://t.co/geWQOLjWS1 ....I would also like to thank “Papa” Doug Manchester, hopefully the next Ambassador to the Bahamas, for the incred… https://t.co/OVx6JaL5hS Thank you to Bahamian Prime Minister Hubert Minnis for your very gracious and kind words in saying that without the… https://t.co/6u5m5MlfDe China just enacted a major stimulus plan. With all the Tariffs THEY are paying to the USA, Billions and Billions of… https://t.co/8dTLSHkL6L PROMISES MADE, PROMISES KEPT! https://t.co/chGpYgkmo7 https://t.co/sQ70fKcTjV"
75,2019-09-08," RT @VP: Thank you @IvankaTrump for continuing to show America’s support for the people of Venezuela! We will not stop fighting until they h… RT @thehill: YESTERDAY: Ivanka Trump meets with the Paraguay Pres. Mario Abdo Benítez during her trip in South America. https://t.co/rAaLK9… RT @JessicaDitto45: “We stand with the people of Venezuela in their struggle to restore democracy, freedom and rule of law. It was deeply m… Congratulations to @JudgeJeanine Pirro on having, again, the Number One Best Selling Book! Looking forward to being in the North Carolina tomorrow night. We’re having a BIG RALLY for a great guy, Dan Bishop… https://t.co/dnEpFwdDrL WE ARE BUILDING THE WALL... https://t.co/OQQaag2ZUW Leakin’ Lyin’ James Comey! https://t.co/0qr5BcbRcl https://t.co/QeUbwdsWfr"
